Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2015-01-01,22.34
Belgium,BEL,2015-01-01,36.56
Czechia,CZE,2015-01-01,20.6
Denmark,DNK,2015-01-01,15.51
Estonia,EST,2015-01-01,24.51
Finland,FIN,2015-01-01,24.51
France,FRA,2015-01-01,36.56
Germany,DEU,2015-01-01,22.34
Greece,GRC,2015-01-01,43.37
Hungary,HUN,2015-01-01,32.88
Italy,ITA,2015-01-01,47.72
Latvia,LVA,2015-01-01,33.02
Lithuania,LTU,2015-01-01,28.07
Luxembourg,LUX,2015-01-01,22.34
Netherlands,NLD,2015-01-01,36.56
Norway,NOR,2015-01-01,27.56
Poland,POL,2015-01-01,20.42
Portugal,PRT,2015-01-01,46.59
Romania,ROU,2015-01-01,41.13
Slovakia,SVK,2015-01-01,20.6
Slovenia,SVN,2015-01-01,30.84
Spain,ESP,2015-01-01,46.59
Sweden,SWE,2015-01-01,24.51
Switzerland,CHE,2015-01-01,36.52
Austria,AUT,2015-01-02,22.34
Belgium,BEL,2015-01-02,36.56
Czechia,CZE,2015-01-02,12.27
Denmark,DNK,2015-01-02,8.18
Estonia,EST,2015-01-02,24.81
Finland,FIN,2015-01-02,25.16
France,FRA,2015-01-02,36.56
Germany,DEU,2015-01-02,22.34
Greece,GRC,2015-01-02,60.62
Hungary,HUN,2015-01-02,42.22
Italy,ITA,2015-01-02,47.72
Latvia,LVA,2015-01-02,25.82
Lithuania,LTU,2015-01-02,26.26
Luxembourg,LUX,2015-01-02,22.34
Netherlands,NLD,2015-01-02,36.56
Norway,NOR,2015-01-02,27.9
Poland,POL,2015-01-02,20.42
Portugal,PRT,2015-01-02,54.52
Romania,ROU,2015-01-02,41.13
Slovakia,SVK,2015-01-02,16.31
Slovenia,SVN,2015-01-02,45.05
Spain,ESP,2015-01-02,52.57
Sweden,SWE,2015-01-02,24.98
Switzerland,CHE,2015-01-02,41.49
Austria,AUT,2015-01-03,22.34
Belgium,BEL,2015-01-03,36.56
Czechia,CZE,2015-01-03,18.29
Denmark,DNK,2015-01-03,15.77
Estonia,EST,2015-01-03,24.73
Finland,FIN,2015-01-03,24.73
France,FRA,2015-01-03,36.56
Germany,DEU,2015-01-03,22.34
Greece,GRC,2015-01-03,62.76
Hungary,HUN,2015-01-03,39.21
Italy,ITA,2015-01-03,47.72
Latvia,LVA,2015-01-03,28.72
Lithuania,LTU,2015-01-03,28.06
Luxembourg,LUX,2015-01-03,22.34
Netherlands,NLD,2015-01-03,36.56
Norway,NOR,2015-01-03,27.61
Poland,POL,2015-01-03,20.42
Portugal,PRT,2015-01-03,53.32
Romania,ROU,2015-01-03,40.95
Slovakia,SVK,2015-01-03,18.65
Slovenia,SVN,2015-01-03,43.46
Spain,ESP,2015-01-03,53.26
Sweden,SWE,2015-01-03,24.48
Switzerland,CHE,2015-01-03,36.46
Austria,AUT,2015-01-04,22.34
Belgium,BEL,2015-01-04,36.56
Czechia,CZE,2015-01-04,13.42
Denmark,DNK,2015-01-04,22.07
Estonia,EST,2015-01-04,29.4
Finland,FIN,2015-01-04,28.65
France,FRA,2015-01-04,36.56
Germany,DEU,2015-01-04,22.34
Greece,GRC,2015-01-04,52.03
Hungary,HUN,2015-01-04,40.08
Italy,ITA,2015-01-04,47.72
Latvia,LVA,2015-01-04,29.4
Lithuania,LTU,2015-01-04,29.39
Luxembourg,LUX,2015-01-04,22.34
Netherlands,NLD,2015-01-04,36.56
Norway,NOR,2015-01-04,28.26
Poland,POL,2015-01-04,24.26
Portugal,PRT,2015-01-04,46.84
Romania,ROU,2015-01-04,40.95
Slovakia,SVK,2015-01-04,13.42
Slovenia,SVN,2015-01-04,38.08
Spain,ESP,2015-01-04,46.43
Sweden,SWE,2015-01-04,28.31
Switzerland,CHE,2015-01-04,31.78
Austria,AUT,2015-01-05,36.18
Belgium,BEL,2015-01-05,45.2
Czechia,CZE,2015-01-05,39.03
Denmark,DNK,2015-01-05,38.23
Estonia,EST,2015-01-05,41.29
Finland,FIN,2015-01-05,41.29
France,FRA,2015-01-05,44.8
Germany,DEU,2015-01-05,36.18
Greece,GRC,2015-01-05,59.9
Hungary,HUN,2015-01-05,45.29
Italy,ITA,2015-01-05,53.51
Latvia,LVA,2015-01-05,42.0
Lithuania,LTU,2015-01-05,42.0
Luxembourg,LUX,2015-01-05,36.18
Netherlands,NLD,2015-01-05,41.73
Norway,NOR,2015-01-05,33.89
Poland,POL,2015-01-05,34.68
Portugal,PRT,2015-01-05,59.86
Romania,ROU,2015-01-05,40.28
Slovakia,SVK,2015-01-05,39.03
Slovenia,SVN,2015-01-05,43.05
Spain,ESP,2015-01-05,59.86
Sweden,SWE,2015-01-05,37.45
Switzerland,CHE,2015-01-05,47.62
Austria,AUT,2015-01-06,33.67
Belgium,BEL,2015-01-06,44.93
Czechia,CZE,2015-01-06,36.37
Denmark,DNK,2015-01-06,29.51
Estonia,EST,2015-01-06,32.3
Finland,FIN,2015-01-06,32.3
France,FRA,2015-01-06,44.93
Germany,DEU,2015-01-06,33.67
Greece,GRC,2015-01-06,58.11
Hungary,HUN,2015-01-06,43.2
Italy,ITA,2015-01-06,50.44
Latvia,LVA,2015-01-06,38.53
Lithuania,LTU,2015-01-06,38.53
Luxembourg,LUX,2015-01-06,33.67
Netherlands,NLD,2015-01-06,42.19
Norway,NOR,2015-01-06,29.16
Poland,POL,2015-01-06,32.25
Portugal,PRT,2015-01-06,53.58
Romania,ROU,2015-01-06,40.93
Slovakia,SVK,2015-01-06,36.37
Slovenia,SVN,2015-01-06,41.55
Spain,ESP,2015-01-06,53.21
Sweden,SWE,2015-01-06,29.69
Switzerland,CHE,2015-01-06,45.34
Austria,AUT,2015-01-07,38.59
Belgium,BEL,2015-01-07,45.53
Czechia,CZE,2015-01-07,38.62
Denmark,DNK,2015-01-07,30.33
Estonia,EST,2015-01-07,32.93
Finland,FIN,2015-01-07,32.93
France,FRA,2015-01-07,45.53
Germany,DEU,2015-01-07,38.59
Greece,GRC,2015-01-07,66.25
Hungary,HUN,2015-01-07,48.29
Italy,ITA,2015-01-07,59.96
Latvia,LVA,2015-01-07,38.49
Lithuania,LTU,2015-01-07,38.49
Luxembourg,LUX,2015-01-07,38.59
Netherlands,NLD,2015-01-07,42.49
Norway,NOR,2015-01-07,29.65
Poland,POL,2015-01-07,35.86
Portugal,PRT,2015-01-07,64.76
Romania,ROU,2015-01-07,45.97
Slovakia,SVK,2015-01-07,41.46
Slovenia,SVN,2015-01-07,48.9
Spain,ESP,2015-01-07,64.76
Sweden,SWE,2015-01-07,31.79
Switzerland,CHE,2015-01-07,47.82
Austria,AUT,2015-01-08,28.05
Belgium,BEL,2015-01-08,43.23
Czechia,CZE,2015-01-08,27.38
Denmark,DNK,2015-01-08,26.06
Estonia,EST,2015-01-08,29.87
Finland,FIN,2015-01-08,29.87
France,FRA,2015-01-08,42.52
Germany,DEU,2015-01-08,28.05
Greece,GRC,2015-01-08,79.68
Hungary,HUN,2015-01-08,58.75
Italy,ITA,2015-01-08,60.53
Latvia,LVA,2015-01-08,40.32
Lithuania,LTU,2015-01-08,40.32
Luxembourg,LUX,2015-01-08,28.05
Netherlands,NLD,2015-01-08,42.4
Norway,NOR,2015-01-08,27.66
Poland,POL,2015-01-08,33.87
Portugal,PRT,2015-01-08,65.76
Romania,ROU,2015-01-08,58.75
Slovakia,SVK,2015-01-08,40.4
Slovenia,SVN,2015-01-08,54.06
Spain,ESP,2015-01-08,65.52
Sweden,SWE,2015-01-08,28.49
Switzerland,CHE,2015-01-08,46.15
Austria,AUT,2015-01-09,24.48
Belgium,BEL,2015-01-09,36.68
Czechia,CZE,2015-01-09,22.09
Denmark,DNK,2015-01-09,25.65
Estonia,EST,2015-01-09,33.31
Finland,FIN,2015-01-09,33.31
France,FRA,2015-01-09,33.02
Germany,DEU,2015-01-09,24.48
Greece,GRC,2015-01-09,74.58
Hungary,HUN,2015-01-09,43.74
Italy,ITA,2015-01-09,56.13
Latvia,LVA,2015-01-09,39.51
Lithuania,LTU,2015-01-09,39.51
Luxembourg,LUX,2015-01-09,24.48
Netherlands,NLD,2015-01-09,36.68
Norway,NOR,2015-01-09,27.5
Poland,POL,2015-01-09,32.9
Portugal,PRT,2015-01-09,63.26
Romania,ROU,2015-01-09,42.51
Slovakia,SVK,2015-01-09,34.43
Slovenia,SVN,2015-01-09,48.37
Spain,ESP,2015-01-09,63.12
Sweden,SWE,2015-01-09,28.53
Switzerland,CHE,2015-01-09,45.05
Austria,AUT,2015-01-10,12.15
Belgium,BEL,2015-01-10,35.91
Czechia,CZE,2015-01-10,9.32
Denmark,DNK,2015-01-10,19.54
Estonia,EST,2015-01-10,28.87
Finland,FIN,2015-01-10,28.57
France,FRA,2015-01-10,18.13
Germany,DEU,2015-01-10,12.15
Greece,GRC,2015-01-10,63.86
Hungary,HUN,2015-01-10,44.63
Italy,ITA,2015-01-10,47.09
Latvia,LVA,2015-01-10,38.78
Lithuania,LTU,2015-01-10,38.78
Luxembourg,LUX,2015-01-10,12.15
Netherlands,NLD,2015-01-10,36.29
Norway,NOR,2015-01-10,26.44
Poland,POL,2015-01-10,31.14
Portugal,PRT,2015-01-10,57.26
Romania,ROU,2015-01-10,37.18
Slovakia,SVK,2015-01-10,12.97
Slovenia,SVN,2015-01-10,38.5
Spain,ESP,2015-01-10,56.71
Sweden,SWE,2015-01-10,27.69
Switzerland,CHE,2015-01-10,38.82
Austria,AUT,2015-01-11,1.49
Belgium,BEL,2015-01-11,30.43
Czechia,CZE,2015-01-11,4.6
Denmark,DNK,2015-01-11,13.45
Estonia,EST,2015-01-11,27.4
Finland,FIN,2015-01-11,27.4
France,FRA,2015-01-11,26.04
Germany,DEU,2015-01-11,1.49
Greece,GRC,2015-01-11,62.81
Hungary,HUN,2015-01-11,32.6
Italy,ITA,2015-01-11,39.47
Latvia,LVA,2015-01-11,39.27
Lithuania,LTU,2015-01-11,39.27
Luxembourg,LUX,2015-01-11,1.49
Netherlands,NLD,2015-01-11,30.73
Norway,NOR,2015-01-11,26.19
Poland,POL,2015-01-11,27.9
Portugal,PRT,2015-01-11,46.77
Romania,ROU,2015-01-11,30.49
Slovakia,SVK,2015-01-11,4.6
Slovenia,SVN,2015-01-11,33.69
Spain,ESP,2015-01-11,46.71
Sweden,SWE,2015-01-11,26.71
Switzerland,CHE,2015-01-11,30.58
Austria,AUT,2015-01-12,22.56
Belgium,BEL,2015-01-12,38.07
Czechia,CZE,2015-01-12,24.2
Denmark,DNK,2015-01-12,17.8
Estonia,EST,2015-01-12,50.22
Finland,FIN,2015-01-12,50.22
France,FRA,2015-01-12,36.5
Germany,DEU,2015-01-12,22.56
Greece,GRC,2015-01-12,61.87
Hungary,HUN,2015-01-12,40.32
Italy,ITA,2015-01-12,50.12
Latvia,LVA,2015-01-12,51.57
Lithuania,LTU,2015-01-12,51.57
Luxembourg,LUX,2015-01-12,22.56
Netherlands,NLD,2015-01-12,37.93
Norway,NOR,2015-01-12,28.23
Poland,POL,2015-01-12,36.3
Portugal,PRT,2015-01-12,58.33
Romania,ROU,2015-01-12,40.22
Slovakia,SVK,2015-01-12,24.2
Slovenia,SVN,2015-01-12,44.2
Spain,ESP,2015-01-12,58.08
Sweden,SWE,2015-01-12,29.52
Switzerland,CHE,2015-01-12,40.72
Austria,AUT,2015-01-13,24.97
Belgium,BEL,2015-01-13,41.01
Czechia,CZE,2015-01-13,27.77
Denmark,DNK,2015-01-13,26.62
Estonia,EST,2015-01-13,48.24
Finland,FIN,2015-01-13,48.24
France,FRA,2015-01-13,36.82
Germany,DEU,2015-01-13,24.97
Greece,GRC,2015-01-13,55.75
Hungary,HUN,2015-01-13,47.52
Italy,ITA,2015-01-13,54.91
Latvia,LVA,2015-01-13,51.09
Lithuania,LTU,2015-01-13,51.09
Luxembourg,LUX,2015-01-13,24.97
Netherlands,NLD,2015-01-13,40.93
Norway,NOR,2015-01-13,28.41
Poland,POL,2015-01-13,33.41
Portugal,PRT,2015-01-13,57.25
Romania,ROU,2015-01-13,45.99
Slovakia,SVK,2015-01-13,27.77
Slovenia,SVN,2015-01-13,46.56
Spain,ESP,2015-01-13,56.96
Sweden,SWE,2015-01-13,33.05
Switzerland,CHE,2015-01-13,43.99
Austria,AUT,2015-01-14,27.68
Belgium,BEL,2015-01-14,39.99
Czechia,CZE,2015-01-14,30.47
Denmark,DNK,2015-01-14,25.56
Estonia,EST,2015-01-14,34.08
Finland,FIN,2015-01-14,34.08
France,FRA,2015-01-14,38.92
Germany,DEU,2015-01-14,27.68
Greece,GRC,2015-01-14,61.65
Hungary,HUN,2015-01-14,48.96
Italy,ITA,2015-01-14,51.19
Latvia,LVA,2015-01-14,50.78
