text,label
My hair dresser passed away yesterday from breast cancer  She was the greatest hair dresser I`d ever been to!,1
 Soooooooooo win the PowerBall jackpot then impose your formidable will upon the weather,2
what a great day for a massage! book your appointment today  617-262-2220,2
" oh, /me still hasn`t got around to starting it",1
" no, im a people pleaser",1
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,2
why won't my homescreen widget display all day events? this makes it really difficult to use,1
"I really liked the app and had been using it for a few weeks. But a while ago whenever I would open the app, it would load for a bit but then freeze and crash if I tapped anything. The rest of my phone still works fine (doesn't freeze) while this happens. Is there anything I can do to fix this? I would love to continue using this app. Thank you! (And I have tried uninstalling and reinstalling.) Edit: Clearing did solve the problem for now. Too bad I had to give up all the progress I made. But thank you anyway, at least I can use the app again.",1
 that blip is NOT to be misconstrued as qs on last night`s convo... it`s just a song i really love & that rocks my morning,2
 i hate feeling like this,0
 http://twitpic.com/4qpzx - i love you guys  you`re the best,2
"Not having push notifications (reminders for tasks) in the free version makes the app entirely worthless, and premium is far too expensive.",0
" READY!!!!!  ... I`ve heard Bobo probobly 100 times , also BoboByeBye!!",1
A fun and beautiful way to organize your life! I'm a huge fan!!!,2
"Any app made well and affective for the needs of the many should be free of limited access and ability, to help them actually acjhieve the goals they have set, like limit 3-5 habits to track...Go PREMIUM and you go for as many goals as you want, hhhmmmm, anyone catching the psychological aspect of limiting a person by a marketing suggestion? It's cool, the app functioms as it should, i t is us as humans that need to work... GodSpeed",2
"Clean design, easy interface, keeps me on task.",2
listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,0
 Your welcome hun!    They are all amazing people - make sure to say hello to them!,2
"Omg,... just had the best roast ever! but now im full haha,..",2
"Ok, i`ve eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",0
Great app when it works but don't assume you will get any support when it doesn't. Always read our help files and that is it.,1
 oh em i`m sorry  i wuv you to pieces,0
"Seems like I really great app, but I just installed it and I couldn't get passed the avatar creation screen :/",1
Back at home and phone my grandma... I love her and miss her,1
 Sorry we couldn`t get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,0
"As a user of GTasks (owned by TickTick), how do I FULLY synchronise my data with the cloud (preferably Google but will make do with the TickTick servers). I pay for this service but only 40% of my tasks are backed up on TickTick server/cloud. Any and all advice much appreciated. kind Regards John Collington",0
it keeps bugging out whenever i try to do anything. it wont stop doing ghe tutorial and wont ket me delete tast and stuff.,0
 http://twitpic.com/4jbba - ohhh someone likes to play with their food.... heehee,2
 Wow! Some person u are!,2
Helps me remember things and keep them organized. It can really work cross devices - hassle free!,2
